,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
logK_RC_α,-18.120596,1.342602,-19.462815,-15.698473,0.664437,0.508191,4.952247,18.979332,2.365102
logK_REC_α_17a_E2,-19.776912,0.207653,-19.999167,-19.376807,0.031536,0.022451,67.530901,68.141755,1.053536
logK_REC_α_17b_E2,-12.242254,7.759751,-19.999531,-0.429473,3.741279,2.939647,5.861816,142.841339,1.84818
logK_REC_α_DES,-9.64801,6.022101,-19.43784,-0.117772,1.69356,1.226291,12.471705,30.005596,1.284638
logK_REC_α_DMS,-15.91401,3.369507,-19.996213,-9.373849,1.366727,1.017009,8.197508,23.529645,1.536776
logK_REC_α_E1,-13.977402,3.969253,-19.979314,-6.073687,1.05057,0.805526,14.01946,136.91687,1.238365
logK_REC_α_E3,-17.173886,2.894,-19.998317,-11.861112,1.323447,1.004211,6.76264,27.99177,1.599988
logK_REC_α_EE2,-12.741715,7.203569,-19.972159,-0.270855,3.514567,2.687215,5.26882,36.510674,2.103324
logK_REC_α_Eqn,-12.435465,5.484512,-19.110818,-1.898148,2.674687,2.061623,4.905576,33.538033,2.411059
logK_REC_α_Equ,-16.330964,1.467441,-19.124792,-14.553591,0.705466,0.539835,5.916356,28.637731,1.819516
logK_REC_α_GEN,-15.797758,4.364793,-19.998659,-8.226345,2.167606,1.658884,4.939389,25.44413,2.445535
logK_REC_α_dl_Hex,-9.390922,4.758355,-17.190236,-1.1489,0.720382,0.51819,44.992239,91.664369,1.067593
logK_REC_α_meso_Hex,-15.373416,4.134641,-19.992976,-7.003907,0.982629,0.713403,25.923059,80.277383,1.19234
logK_RE_α_17a_E2,-7.001479,1.177577,-9.278055,-5.648375,0.55978,0.42531,5.687281,28.35507,1.899081
logK_RE_α_17b_E2,-8.299206,1.67826,-10.696578,-5.384027,0.810649,0.617496,4.929832,31.241782,2.409403
logK_RE_α_DES,-14.187789,6.256315,-19.69467,-1.609368,2.969003,2.255188,6.230596,23.874533,1.742188
logK_RE_α_DMS,-18.400961,0.989501,-19.99289,-16.744415,0.147396,0.106112,46.589337,75.165351,1.328337
logK_RE_α_E1,-18.141849,1.745253,-19.860014,-16.293847,0.433159,0.346145,17.969645,74.589161,1.18861
logK_RE_α_E3,-18.590451,0.74848,-19.999545,-17.274583,0.129345,0.092269,36.002331,121.181799,1.244113
logK_RE_α_EE2,-19.066204,0.682942,-19.999139,-17.777565,0.221478,0.163028,8.53283,22.641942,1.401574
logK_RE_α_Eqn,-11.355292,1.188875,-12.907523,-8.793615,0.566456,0.432157,4.955638,20.209536,2.342721
logK_RE_α_Equ,-10.763059,0.689309,-12.038252,-9.311663,0.303243,0.228699,5.205798,19.733356,2.143417
logK_RE_α_GEN,-9.307225,0.620512,-10.369853,-8.037278,0.239796,0.17755,6.900609,23.708841,1.584563
logK_RE_α_dl_Hex,-17.236502,1.034846,-18.507684,-15.354707,0.4713,0.355798,5.89834,15.286091,1.826914
logK_RE_α_meso_Hex,-18.3398,1.563364,-19.997695,-14.720062,0.552701,0.413538,7.782125,46.948865,1.477712
log_scale_α_17a_E2,30.867891,1.408848,28.303851,31.919801,0.698491,0.534406,7.246772,30.639339,1.535428
log_scale_α_17a_E2_15,26.802532,15.3689,0.112546,48.267682,2.938339,2.319953,28.041535,41.305291,1.102204
log_scale_α_17b_E2,37.361816,7.475342,28.25709,48.727363,3.59721,2.738421,5.286374,28.992489,2.109725
log_scale_α_17b_E2_14,23.778126,14.197307,0.632588,47.545203,0.946202,0.678634,240.025127,406.316375,1.016746
log_scale_α_DES,35.958023,9.098207,25.63991,49.915929,3.971316,3.101777,7.207321,52.808545,1.570498
log_scale_α_DMS,27.055713,2.299862,25.287949,32.184528,0.948802,0.707349,8.136402,23.682831,1.529368
log_scale_α_E1,28.233297,3.272443,25.272341,35.532853,0.699344,0.501252,17.630809,213.112128,1.185234
log_scale_α_E3,26.39684,1.732896,25.31089,29.718892,0.767308,0.577028,7.312796,27.849287,1.513931
log_scale_α_EE2,30.251721,6.191266,25.254748,41.533767,3.010377,2.295589,5.276161,35.650961,2.094015
log_scale_α_Eqn,33.464294,5.259067,28.166464,43.612309,2.560442,1.952909,4.92595,27.570647,2.385354
